datetime,value
2021-01-31 15:00:00,184.53
2021-01-31 16:00:00,255.17
2021-01-31 17:00:00,353.93
2021-01-31 18:00:00,420.97
2021-01-31 19:00:00,418.83
2021-01-31 20:00:00,409.8
2021-01-31 21:00:00,392.0
2021-01-31 22:00:00,376.87
2021-01-31 23:00:00,339.3
2021-02-01 00:00:00,286.43
2021-02-01 01:00:00,247.73
2021-02-01 02:00:00,226.47
2021-02-01 03:00:00,214.07
2021-02-01 04:00:00,208.7
2021-02-01 05:00:00,210.6
2021-02-01 06:00:00,238.97
2021-02-01 07:00:00,280.67
2021-02-01 08:00:00,277.9
2021-02-01 09:00:00,287.5
2021-02-01 10:00:00,268.93
2021-02-01 11:00:00,238.23
2021-02-01 12:00:00,234.33
2021-02-01 13:00:00,236.07
2021-02-01 14:00:00,250.03
2021-02-01 15:00:00,268.1
2021-02-01 16:00:00,302.23
2021-02-01 17:00:00,335.5
2021-02-01 18:00:00,386.13
2021-02-01 19:00:00,409.33
2021-02-01 20:00:00,398.73
2021-02-01 21:00:00,382.5
2021-02-01 22:00:00,330.83
2021-02-01 23:00:00,282.97
2021-02-02 00:00:00,246.63
2021-02-02 01:00:00,220.17
2021-02-02 02:00:00,199.07
2021-02-02 03:00:00,191.3
2021-02-02 04:00:00,192.57
2021-02-02 05:00:00,199.23
2021-02-02 06:00:00,233.17
2021-02-02 07:00:00,254.53
2021-02-02 08:00:00,285.9
2021-02-02 09:00:00,231.17
2021-02-02 10:00:00,177.7
2021-02-02 11:00:00,160.8
2021-02-02 12:00:00,173.23
2021-02-02 13:00:00,203.0
2021-02-02 14:00:00,231.77
2021-02-02 15:00:00,239.4
2021-02-02 16:00:00,253.7
2021-02-02 17:00:00,321.23
2021-02-02 18:00:00,387.23
2021-02-02 19:00:00,410.07
2021-02-02 20:00:00,389.57
2021-02-02 21:00:00,375.23
2021-02-02 22:00:00,329.67
2021-02-02 23:00:00,273.13
2021-02-03 00:00:00,243.1
2021-02-03 01:00:00,218.33
2021-02-03 02:00:00,198.63
2021-02-03 03:00:00,182.6
2021-02-03 04:00:00,184.0
2021-02-03 05:00:00,193.83
2021-02-03 06:00:00,217.1
2021-02-03 07:00:00,258.77
2021-02-03 08:00:00,232.63
2021-02-03 09:00:00,189.5
2021-02-03 10:00:00,154.1
2021-02-03 11:00:00,116.3
2021-02-03 12:00:00,105.17
2021-02-03 13:00:00,105.5
2021-02-03 14:00:00,113.07
2021-02-03 15:00:00,130.43
2021-02-03 16:00:00,176.23
2021-02-03 17:00:00,257.37
2021-02-03 18:00:00,332.77
2021-02-03 19:00:00,337.93
2021-02-03 20:00:00,347.4
2021-02-03 21:00:00,315.67
2021-02-03 22:00:00,276.93
2021-02-03 23:00:00,262.9
2021-02-04 00:00:00,239.5
2021-02-04 01:00:00,207.93
2021-02-04 02:00:00,198.9
2021-02-04 03:00:00,189.1
2021-02-04 04:00:00,186.67
