date,10min,time,value
04.01.21  ,2,20:10:00,60.733
04.01.21  ,3,20:20:00,60.667
04.01.21  ,4,20:30:00,62.367
04.01.21  ,5,20:40:00,61.067
04.01.21  ,6,20:50:00,60.967
04.01.21  ,1,21:00:00,60.133
04.01.21  ,2,21:10:00,59.4
04.01.21  ,3,21:20:00,59.1
04.01.21  ,4,21:30:00,59.167
04.01.21  ,5,21:40:00,55.767
04.01.21  ,6,21:50:00,54.3
04.01.21  ,1,22:00:00,53.933
04.01.21  ,2,22:10:00,52.033
04.01.21  ,3,22:20:00,51.167
04.01.21  ,4,22:30:00,48.2
04.01.21  ,5,22:40:00,46.5
04.01.21  ,6,22:50:00,48.4
04.01.21  ,1,23:00:00,48.3
04.01.21  ,2,23:10:00,47.1
04.01.21  ,3,23:20:00,45.533
04.01.21  ,4,23:30:00,44.967
04.01.21  ,5,23:40:00,46.9
04.01.21  ,6,23:50:00,46.8
05.01.21  ,1,00:00:00,44.3
05.01.21  ,2,00:10:00,43.333
05.01.21  ,3,00:20:00,42.367
05.01.21  ,4,00:30:00,40.933
05.01.21  ,5,00:40:00,40.7
05.01.21  ,6,00:50:00,40.867
05.01.21  ,1,01:00:00,40.133
05.01.21  ,2,01:10:00,39.367
05.01.21  ,3,01:20:00,39.5
05.01.21  ,4,01:30:00,38.167
05.01.21  ,5,01:40:00,38.533
05.01.21  ,6,01:50:00,37.9
05.01.21  ,1,02:00:00,36.433
05.01.21  ,2,02:10:00,36.4
05.01.21  ,3,02:20:00,36.2
05.01.21  ,4,02:30:00,36.167
05.01.21  ,5,02:40:00,34.733
05.01.21  ,6,02:50:00,34.8
05.01.21  ,1,03:00:00,33.6
05.01.21  ,2,03:10:00,34.067
05.01.21  ,3,03:20:00,33.9
05.01.21  ,4,03:30:00,32.6
05.01.21  ,5,03:40:00,34.2
05.01.21  ,6,03:50:00,33.2
05.01.21  ,1,04:00:00,34.0
05.01.21  ,2,04:10:00,34.133
05.01.21  ,3,04:20:00,32.6
05.01.21  ,4,04:30:00,32.067
05.01.21  ,5,04:40:00,31.533
05.01.21  ,6,04:50:00,32.267
05.01.21  ,1,05:00:00,32.667
05.01.21  ,2,05:10:00,33.2
05.01.21  ,3,05:20:00,32.567
05.01.21  ,4,05:30:00,34.067
05.01.21  ,5,05:40:00,33.2
05.01.21  ,6,05:50:00,34.5
05.01.21  ,1,06:00:00,34.7
05.01.21  ,2,06:10:00,36.433
05.01.21  ,3,06:20:00,37.233
05.01.21  ,4,06:30:00,36.467
05.01.21  ,5,06:40:00,38.367
05.01.21  ,6,06:50:00,38.067
05.01.21  ,1,07:00:00,36.167
05.01.21  ,2,07:10:00,38.067
05.01.21  ,3,07:20:00,38.933
05.01.21  ,4,07:30:00,38.267
05.01.21  ,5,07:40:00,39.1
05.01.21  ,6,07:50:00,38.967
05.01.21  ,1,08:00:00,40.9
05.01.21  ,2,08:10:00,39.233
05.01.21  ,3,08:20:00,38.833
05.01.21  ,4,08:30:00,39.9
05.01.21  ,5,08:40:00,37.5
05.01.21  ,6,08:50:00,36.467
05.01.21  ,1,09:00:00,37.033
05.01.21  ,2,09:10:00,35.733
05.01.21  ,3,09:20:00,35.633
05.01.21  ,4,09:30:00,36.533
05.01.21  ,5,09:40:00,36.767
05.01.21  ,6,09:50:00,37.333
05.01.21  ,1,10:00:00,36.867
05.01.21  ,2,10:10:00,35.033
05.01.21  ,3,10:20:00,31.4
05.01.21  ,4,10:30:00,28.8
05.01.21  ,5,10:40:00,31.5
05.01.21  ,6,10:50:00,25.9
05.01.21  ,1,11:00:00,21.5
05.01.21  ,2,11:10:00,16.433
05.01.21  ,3,11:20:00,19.667
05.01.21  ,4,11:30:00,27.067
05.01.21  ,5,11:40:00,24.3
05.01.21  ,6,11:50:00,26.233
05.01.21  ,1,12:00:00,23.5
05.01.21  ,2,12:10:00,24.967
05.01.21  ,3,12:20:00,25.933
05.01.21  ,4,12:30:00,20.133
05.01.21  ,5,12:40:00,25.2
05.01.21  ,6,12:50:00,14.967
05.01.21  ,1,13:00:00,19.4
05.01.21  ,2,13:10:00,25.4
05.01.21  ,3,13:20:00,27.4
05.01.21  ,4,13:30:00,27.967
05.01.21  ,5,13:40:00,31.1
05.01.21  ,6,13:50:00,24.933
05.01.21  ,1,14:00:00,27.133
05.01.21  ,2,14:10:00,25.6
05.01.21  ,3,14:20:00,28.467
05.01.21  ,4,14:30:00,20.967
05.01.21  ,5,14:40:00,19.9
05.01.21  ,6,14:50:00,19.633
05.01.21  ,1,15:00:00,19.133
05.01.21  ,2,15:10:00,20.067
05.01.21  ,3,15:20:00,22.933
05.01.21  ,4,15:30:00,25.133
05.01.21  ,5,15:40:00,24.067
05.01.21  ,6,15:50:00,25.533
05.01.21  ,1,16:00:00,28.0
05.01.21  ,2,16:10:00,32.6
05.01.21  ,3,16:20:00,35.4
05.01.21  ,4,16:30:00,38.133
05.01.21  ,5,16:40:00,42.2
05.01.21  ,6,16:50:00,43.433
05.01.21  ,1,17:00:00,46.233
05.01.21  ,2,17:10:00,46.433
05.01.21  ,3,17:20:00,50.533
05.01.21  ,4,17:30:00,53.367
05.01.21  ,5,17:40:00,58.1
05.01.21  ,6,17:50:00,59.6
05.01.21  ,1,18:00:00,61.6
05.01.21  ,2,18:10:00,58.067
05.01.21  ,3,18:20:00,61.133
05.01.21  ,4,18:30:00,61.733
05.01.21  ,5,18:40:00,61.933
05.01.21  ,6,18:50:00,62.433
05.01.21  ,1,19:00:00,62.967
05.01.21  ,2,19:10:00,62.367
05.01.21  ,3,19:20:00,62.933
05.01.21  ,4,19:30:00,64.5
05.01.21  ,5,19:40:00,64.7
05.01.21  ,6,19:50:00,62.6
05.01.21  ,1,20:00:00,60.033
